,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,maturity,type,S
111,SPY260320C00365000,2025-08-20 13:35:43+00:00,365.0,281.95,302.93,306.25,0.0,0.0,2.0,73.0,1.0000000000000003e-05,True,REGULAR,USD,2026-03-20,EuropeanCall,694.4400024414062
112,SPY260320C00370000,2025-11-03 18:42:20+00:00,370.0,319.46,323.59,326.9,0.0,0.0,8.0,21.0,0.676761044921875,True,REGULAR,USD,2026-03-20,EuropeanCall,694.4400024414062
113,SPY260320C00375000,2025-10-06 15:36:29+00:00,375.0,303.0,300.02,303.4,0.0,0.0,10.0,65.0,1.0000000000000003e-05,True,REGULAR,USD,2026-03-20,EuropeanCall,694.4400024414062
114,SPY260320C00380000,2025-11-14 18:12:02+00:00,380.0,299.68,313.62,316.41,0.0,0.0,2.0,157.0,0.6215858154296876,True,REGULAR,USD,2026-03-20,EuropeanCall,694.4400024414062
115,SPY260320C00385000,2025-12-29 19:23:53+00:00,385.0,306.21,310.6,313.4,0.0,0.0,6.0,191.0,0.7690452783203126,True,REGULAR,USD,2026-03-20,EuropeanCall,694.4400024414062
116,SPY260320C00390000,2025-12-31 18:11:35+00:00,390.0,298.88,305.64,308.45,0.0,0.0,2.0,181.0,0.7567163000488282,True,REGULAR,USD,2026-03-20,EuropeanCall,694.4400024414062
117,SPY260320C00395000,2025-10-01 13:50:36+00:00,395.0,276.01,280.62,283.97,0.0,0.0,2.0,327.0,1.0000000000000003e-05,True,REGULAR,USD,2026-03-20,EuropeanCall,694.4400024414062
118,SPY260320C00400000,2026-01-07 15:02:25+00:00,400.0,295.32,295.75,298.54,0.0,0.0,1.0,477.0,0.7329128271484374,True,REGULAR,USD,2026-03-20,EuropeanCall,694.4400024414062
119,SPY260320C00405000,2026-01-02 20:57:10+00:00,405.0,281.0,290.8,293.59,0.0,0.0,8.0,58.0,0.7210721252441408,True,REGULAR,USD,2026-03-20,EuropeanCall,694.4400024414062
120,SPY260320C00410000,2025-12-17 18:31:47+00:00,410.0,267.03,285.83,288.63,0.0,0.0,3.0,21.0,0.7086210778808593,True,REGULAR,USD,2026-03-20,EuropeanCall,694.4400024414062
121,SPY260320C00415000,2025-12-03 14:57:18+00:00,415.0,270.05,279.03,282.41,0.0,0.0,22.0,6.0,0.6058389025878907,True,REGULAR,USD,2026-03-20,EuropeanCall,694.4400024414062
122,SPY260320C00420000,2026-01-08 19:45:51+00:00,420.0,272.36,275.94,278.73,0.0,0.0,3.0,124.0,0.68555001953125,True,REGULAR,USD,2026-03-20,EuropeanCall,694.4400024414062
